Type(类型)	Name（视图名/表名）	Description（描述）
View	        USER_SQLJ_TYPE_ATTRS	
View	        USER_SQLJ_TYPE_METHODS	
View	        USER_SQLSET	
View	        USER_SQLSET_BINDS	
View	        USER_SQLSET_PLANS	
View	        USER_SQLSET_REFERENCES	
View	        USER_SQLSET_STATEMENTS	
View	        USER_SQLTUNE_BINDS	
View	        USER_SQLTUNE_PLANS	
View	        USER_SQLTUNE_RATIONALE_PLA	
View	        USER_SQLTUNE_STATISTICS	
View	        USER_STAT_EXTENSIONS	
View	        USER_STORED_SETTINGS	
View	        USER_SUBPARTITION_TEMPLATE	
View	        USER_SUBPART_COL_STATISTIC	
View	        USER_SUBPART_HISTOGRAMS	
View	        USER_SUBPART_KEY_COLUMNS	
View	        USER_SUBSCRIBED_COLUMNS	
View	        USER_SUBSCRIBED_TABLES	
View	        USER_SUBSCRIPTIONS	
View	        USER_SUBSCR_REGISTRATIONS	
View	        USER_SUMMARIES	
View	        USER_SUMMARY_AGGREGATES	
View	        USER_SUMMARY_DETAIL_TABLES	
View	        USER_SUMMARY_JOINS	
View	        USER_SUMMARY_KEYS	
View	        USER_SYNONYMS	
View	        USER_SYS_PRIVS	
View	        USER_TABLES	
View	        USER_TABLESPACES	
View	        USER_TAB_COLS	
View	        USER_TAB_COLUMNS	
View	        USER_TAB_COL_STATISTICS	
View	        USER_TAB_COMMENTS	
View	        USER_TAB_HISTGRM_PENDING_S	
View	        USER_TAB_HISTOGRAMS	
View	        USER_TAB_MODIFICATIONS	
View	        USER_TAB_PARTITIONS	
View	        USER_TAB_PENDING_STATS	
View	        USER_TAB_PRIVS	
View	        USER_TAB_PRIVS_MADE	
View	        USER_TAB_PRIVS_RECD	
View	        USER_TAB_STATISTICS	
View	        USER_TAB_STATS_HISTORY	
View	        USER_TAB_STAT_PREFS	
View	        USER_TAB_SUBPARTITIONS	
View	        USER_TRANSFORMATIONS	
View	        USER_TRIGGERS	
View	        USER_TRIGGER_COLS	
View	        USER_TRIGGER_ORDERING	
View	        USER_TS	
View	        USER_TSTZ_TABLES	
View	        USER_TSTZ_TAB_COLS	
View	        USER_TS_QUOTAS	
View	        USER_TUNE_MVIEW	
View	        USER_TYPES	
View	        USER_TYPE_ATTRS	
View	        USER_TYPE_METHODS	
View	        USER_TYPE_VERSIONS	
View	        USER_UNUSED_COL_TABS	
